Tên chung cư,Giá trung bình trên m2,District,Ward,latitude,longitude,,,
Khu căn hộ EHome 3,41.75,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Khu dân cư Hai Thành - Tên Lửa,48.55,Quận Bình Tân,Phường Bình Trị Đông B,10.758,106.592,,,
The Privia,64.92,Quận Bình Tân,Phường An Lạc,10.758,106.602,,,
Cao Ốc Căn Hộ H2-Hoàng Diệu,62.8,Quận 4,Phường 8,10.7578,106.7013,,,
H3 Hoàng Diệu,65.52,Quận 4,Phường 6,10.7578,106.7013,,,
Khu căn hộ Contrexim - Copac Square,67.06,Quận 4,Phường 13,10.7578,106.7013,,,
Masteri Millennium,90.52,Quận 4,Phường 6,10.7578,106.7013,,,
River Gate,106.27,Quận 4,Phường 6,10.7578,106.7013,,,
Grand Riverside,72.34,Quận 4,Phường 2,10.757,106.704,,,
ICON 56,100.26,Quận 4,Phường 12,10.756,106.707,,,
Saigon Royal Residence,126.96,Quận 4,Phường 12,10.756,106.707,,,
The Everrich Infinity,114.98,Quận 5,Phường 4,10.756,106.666,,,
The Tresor,109.5,Quận 4,Phường 12,10.756,106.707,,,
Căn hộ Nhất Lan,32.74,Bình Tân,Phường Tân Tạo,10.754,106.59,,,
Chung cư 155 Nguyễn Chí Thanh,63.9,Quận 5,Phường 9,10.754,106.6633,,,
Chung cư Phúc Thịnh,61.53,Quận 5,Phường 1,10.754,106.6633,,,
Hùng Vương Plaza,70.72,Quận 5,Phường 12,10.754,106.6633,,,
Kiều by KITA,150.78,Quận 5,Phường 1,10.754,106.6633,,,
Tản Đà Court,78.12,Quận 5,Phường 11,10.754,106.6633,,,
Venus Luxury,80,Quận 5,Phường 12,10.754,106.6633,,,
Vĩnh Lộc D’Gold,25.56,Huyện Bình Chánh,Xã Vĩnh Lộc A,10.753,106.583,,,
Asiana Capella,56.13,Quận 6,Phường 10,10.752,106.628,,,
Căn hộ Nhất Lan 3,39.37,Bình Tân,Phường Tân Tạo A,10.752,106.586,,,
The Western Capital,45.75,Quận 6,Phường 10,10.752,106.628,,,
Moonlight Park View,57.66,Quận Bình Tân,Phường An Lạc A,10.751,106.594,,,
Ascent Lakeside,59.77,Quận 7,Phường Tân Thuận Tây,10.749,106.729,,,
Căn hộ Riva Park,68.86,Quận 4,Phường 18,10.749,106.709,,,
Eco Green Sài Gòn,93,Quận 7,Phường Tân Thuận Tây,10.749,106.729,,,
An Phú Apartment,45.95,Quận 6,Phường 11,10.748,106.6352,,,
D-Homme,74.57,Quận 6,Phường 6,10.748,106.6352,,,
Him Lam Chợ Lớn,55.37,Quận 6,Phường 11,10.748,106.6352,,,
Khu căn hộ Bình Phú,38.6,Quận 6,Phường 11,10.748,106.6352,,,
Saigon Asiana,60.53,Quận 6,Phường 12,10.748,106.6352,,,
Viva Riverside,50.23,Quận 6,Phường 3,10.748,106.6352,,,
Lucky Palace,60.58,Quận 6,Phường 2,10.7476,106.633,,,
Căn hộ An Viên,54.75,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Jamona Heights,63.7,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Khu căn hộ An Hòa,42.04,Quận 7,Phường Tân Thuận Đông,10.747,106.735,,,
Angia Star,37.54,Quận Bình Tân,Phường Tân Tạo,10.745,106.587,,,
Căn hộ Florita,68.94,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Him Lam Riverside,71.6,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Hoàng Anh Gia Lai 1,41.82,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Hoàng Anh Thanh Bình,50.68,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Summer Square,50.2,Quận 6,Phường 14,10.743,106.628,,,
Sunrise City,80.55,Quận 7,Phường Tân Hưng,10.743,106.72,,,
Sunrise City View,71.64,Quận 7,Phường Tân Hưng,10.743,106.72,,,
An Gia Riverside,61.03,Quận 7,Phường Phú Thuận,10.742,106.728,,,
An Gia Skyline,64.4,Quận 7,Phường Phú Thuận,10.742,106.728,,,
D-Vela,46.24,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Jamona City,55.07,Quận 7,Phường Phú Thuận,10.742,106.728,,,
La Casa,45.83,Quận 7,Phường Phú Thuận,10.742,106.728,,,
LuxGarden,44.98,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Panomax River Villas,78.51,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Q7 Saigon Riverside,57.91,Quận 7,Phường Phú Thuận,10.742,106.728,,,
River Panorama,71.78,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Sky 89,75.66,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Sunshine Diamond River,106.84,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Tulip Tower,39.94,Quận 7,Phường Phú Thuận,10.742,106.728,,,
V-Star,45.3,Quận 7,Phường Phú Thuận,10.742,106.728,,,
Central Premium,71.92,Quận 8,Phường 5,10.739,106.631,,,
Chung cư Bông Sao,51.78,Quận 8,Phường 5,10.739,106.631,,,
Him Lam Nam Khánh,46.74,Quận 8,Phường 5,10.739,106.631,,,
Khu căn hộ Chánh Hưng - Giai Việt,48,Quận 8,Phường 5,10.739,106.631,,,
Samland Giai Việt,49.25,Quận 8,Phường 5,10.739,106.631,,,
M-One Nam Sài Gòn,62.79,Quận 7,Phường Tân Kiểng,10.737,106.726,,,
Căn hộ Luxcity,59.27,Quận 7,Phường Bình Thuận,10.735,106.713,,,
The Golden Star,69.23,Quận 7,Phường Bình Thuận,10.735,106.713,,,
Topaz City,44.76,Quận 8,Phường 4,10.735,106.627,,,
Topaz Elite,55.12,Quận 8,Phường 4,10.735,106.627,,,
Garden Court 1,110.24,Quận 7,Khu đô thị Phú Mỹ,10.734,106.7218,,,
Ngọc Phương Nam,36.34,Quận 8,Phường 2,10.733,106.632,,,
Căn Hộ Cao Cấp Hoàng Tháp Plaza,30,Bình Chánh,Xã Bình Hưng,10.731,106.686,,,
Grand View,92.92,Quận 7,Phường Tân Phong,10.729,106.719,,,
Happy Valley,90.26,Quận 7,Phường Tân Phong,10.729,106.719,,,
Happy Valley Premier,98.77,Quận 7,Phường Tân Phong,10.729,106.719,,,
Hưng Vượng 1,53.52,Quận 7,Phường Tân Phong,10.729,106.719,,,
Hưng Vượng 2,64.7,Quận 7,Phường Tân Phong,10.729,106.719,,,
Hưng Vượng 3,73.93,Quận 7,Phường Tân Phong,10.729,106.719,,,
Khu căn hộ Mỹ Đức,83.84,Quận 7,Phường Tân Phong,10.729,106.719,,,
Lavida Plus,70.56,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Cảnh,61.46,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Khánh 1,81.69,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Khánh 2,74.15,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Khánh 3,88.2,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Khánh 4,93.8,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Phát,116.79,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Phúc,106.25,Quận 7,Phường Tân Phong,10.729,106.719,,,
Mỹ Phước,71.6,Quận 7,Phường Tân Phong,10.729,106.719,,,
Phú Mỹ Hưng,79.73,Quận 7,Phường Tân Phong,10.729,106.719,,,
Richlane Residence,51.08,Quận 7,Phường Tân Phong,10.729,106.719,,,
Riverpark Premier,128.38,Quận 7,Phường Tân Phong,10.729,106.719,,,
Riverpark Residence,123.62,Quận 7,Phường Tân Phong,10.729,106.719,,,
Sky Garden 3,85.93,Quận 7,Phường Tân Phong,10.729,106.719,,,
Sky Garden I,80.22,Quận 7,Phường Tân Phong,10.729,106.719,,,
Sky Garden II,81.81,Quận 7,Phường Tân Phong,10.729,106.719,,,
The Panorama,122.84,Quận 7,Phường Tân Phong,10.729,106.719,,,
Urban Hill,108,Quận 7,Phường Tân Phong,10.729,106.719,,,
Belleza Apartment,52.19,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
Căn hộ Hoàng Quốc Việt,51.16,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
Chung cư Phú Mỹ,62.01,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
Q7 Boulevard,54.89,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
The Era Town,38.23,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
The Peak Garden,60.17,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
Viva Plaza,56.11,Quận 7,Phường Phú Mỹ,10.726,106.735,,,
Diamond Lotus Phúc Khang,72.69,Quận 8,Phường 8,10.724,106.6286,,,
Felisa Riverside,50.95,Quận 8,Phường 11,10.724,106.6286,,,
Green River quận 8,42.66,Quận 8,Phường 6,10.724,106.6286,,,
Tara Residence,51.19,Quận 8,Phường 6,10.724,106.6286,,,
The Pegasuite,62.81,Quận 8,Phường 6,10.724,106.6286,,,
The Pegasuite 2,65.13,Quận 8,Phường 6,10.724,106.6286,,,
Căn hộ Cosmo City,61.69,Quận 7,Phường Tân Phú,10.721,106.722,,,
Cảnh Viên 1,105.84,Quận 7,Phường Tân Phú,10.721,106.722,,,
Cảnh Viên 2,87.26,Quận 7,Phường Tân Phú,10.721,106.722,,,
Cardinal Court,127.63,Quận 7,Phường Tân Phú,10.721,106.722,,,
Chung cư Hưng Phúc,96.94,Quận 7,Phường Tân Phú,10.721,106.722,,,
Docklands Sài Gòn,59.28,Quận 7,Phường Tân Phú,10.721,106.722,,,
Golden King,66.64,Quận 7,Phường Tân Phú,10.721,106.722,,,
Green Valley,89.23,Quận 7,Phường Tân Phú,10.721,106.722,,,
Green View,80.07,Quận 7,Phường Tân Phú,10.721,106.722,,,
Hưng Phúc Premier,100.73,Quận 7,Phường Tân Phú,10.721,106.722,,,
Khu căn hộ Res III,52.03,Quận 7,Phường Tân Phú,10.721,106.722,,,
Midtown Phú Mỹ Hưng,117.92,Quận 7,Phường Tân Phú,10.721,106.722,,,
Mỹ Khang,74.69,Quận 7,Phường Tân Phú,10.721,106.722,,,
Mỹ Viên,67.8,Quận 7,Phường Tân Phú,10.721,106.722,,,
Nam Phúc - Le Jardin,97.97,Quận 7,Phường Tân Phú,10.721,106.722,,,
Park View,93.58,Quận 7,Phường Tân Phú,10.721,106.722,,,
PetroLand Tower,53.33,Quận 7,Phường Tân Phú,10.721,106.722,,,
Riverside Residence,95.27,Quận 7,Phường Tân Phú,10.721,106.722,,,
Riviera Point,79.83,Quận 7,Phường Tân Phú,10.721,106.722,,,
Scenic Valley 1,92.44,Quận 7,Phường Tân Phú,10.721,106.722,,,
Scenic Valley 2,92.89,Quận 7,Phường Tân Phú,10.721,106.722,,,
Star Hill,94.65,Quận 7,Phường Tân Phú,10.721,106.722,,,
Sunshine Sky City,76.31,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Antonia,118.42,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Ascentia Phú Mỹ Hưng,109.61,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Aurora Phú Mỹ Hưng,123.18,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Horizon Phú Mỹ Hưng,158.81,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Infiniti Riviera Point,103.98,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Peak,144.22,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Regency Phú Mỹ Hưng,174.06,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Signature,126.37,Quận 7,Phường Tân Phú,10.721,106.722,,,
The Symphony,124,Quận 7,Phường Tân Phú,10.721,106.722,,,
The View Riviera Point,87.47,Quận 7,Phường Tân Phú,10.721,106.722,,,
Conic Riverside,49.22,Quận 8,Phường 7,10.72,106.631,,,
Dream Home Palace,40.98,Quận 8,Phường 7,10.72,106.631,,,
Dream Home Riverside,25.31,Quận 8,Phường 7,10.72,106.631,,,
Khu dân cư Phú Lợi,33.51,Quận 8,Phường 7,10.72,106.631,,,
Chung cư Mỹ Thuận,30.84,Quận 8,Phường 16,10.719,106.62,,,
City Gate Towers,36.3,Quận 8,Phường 16,10.719,106.62,,,
Diamond Riverside,41.4,Quận 8,Phường 16,10.719,106.62,,,
Phú Định Riverside,40,Quận 8,Phường 16,10.719,106.62,,,
Aurora Residences,48.49,Quận 8,Phường 14,10.716,106.625,,,
Căn hộ D-Aqua,65.99,Quận 8,Phường 14,10.716,106.625,,,
Căn hộ Hưng Phát,34.54,Nhà Bè,Xã Phước Kiển,10.716,106.697,,,
Mizuki Park,61.18,Huyện Bình Chánh,Xã Bình Hưng,10.71,106.658,,,
Trellia Cove,70.07,Huyện Bình Chánh,Xã Bình Hưng,10.71,106.658,,,
Dragon Hill Residence and Suites,58.86,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Essensia Broadway,73.66,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Essensia Sky,75.44,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Hoàng Anh Gold House,35.67,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
New Saigon-Hoàng Anh Gia Lai 3,39.12,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Phú Hoàng Anh,37.3,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Saigon South Residences,76.93,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Sunrise Riverside,70.48,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
The Park Residence,45.16,Huyện Nhà Bè,Xã Phước Kiển,10.707,106.732,,,
Khải Hoàn Prime,65.48,Huyện Nhà Bè,Xã Nhơn Đức,10.683,106.728,,,
Terra Rosa,28.86,Huyện Bình Chánh,Xã Phong Phú,10.678,106.64,,,
Westgate,44.39,Huyện Bình Chánh,Thị trấn Tân Túc,10.661,106.606,,,
4S Riverside Garden Bình Triệu,54.05,Thủ Đức,Phường Hiệp Bình Chánh,10.822,106.713,,,
Căn hộ Terra Mia,52.3,Bình Chánh,Xã Bình Hưng,10.723,106.685,,,
Căn hộ Vĩnh Tường,29.92,Bình Tân,Phường Tân Tạo A,10.75,106.587,,,
Cantavil Hoàn Cầu,79.9,Bình Thạnh,Phường 22,10.798,106.714,,,
Cao ốc Phú Nhuận,66.67,Phú Nhuận,Phường 9,10.808,106.67,,,
Cao ốc TDH - Bình Chiểu,37.3,Thủ Đức,Phường Bình Chiểu,10.878,106.719,,,
Carillon 3,69.23,Tân Bình,Phường 13,10.806,106.645,,,
Carillon 5,54.31,Tân Phú,Phường Hòa Thạnh,10.772,106.627,,,
Carillon Apartment,68.45,Tân Bình,Phường 13,10.805,106.644,,,
Celesta Rise,76.09,Nhà Bè,Xã Phước Kiển,10.712,106.696,,,
Central Plaza - 91 Phạm Văn Hai,65,Tân Bình,Phường 3,10.793,106.66,,,
Chung cư 1050 Chu Văn An,51.03,Bình Thạnh,Phường 12,10.815,106.698,,,
Chung cư A.View,29.34,Bình Chánh,Xã Phong Phú,10.712,106.641,,,
Chung cư An Lộc,45.85,Gò Vấp,Phường 17,10.846,106.674,,,
Chung cư Conic Đình Khiêm,31.1,Bình Chánh,Xã Phong Phú,10.713,106.635,,,
Chung cư Cửu Long,36.15,Bình Thạnh,Phường 13,10.821,106.698,,,
Chung cư Gia Phú,41.13,Bình Tân,Phường Bình Hưng Hòa,10.808,106.6,,,
Chung cư Goldora Plaza,52.14,Nhà Bè,Xã Phước Kiển,10.719,106.696,,,
Chung cư Hà Kiều,56.52,Gò Vấp,Phường 5,10.836,106.685,,,
Chung cư Khang Phú,39.87,Tân Phú,Phường Hòa Thạnh,10.78,106.635,,,
Chung cư Khuông Việt,53.95,Tân Phú,Phường Phú Trung,10.77,106.636,,,
Chung cư Lê Thành Tân Kiên,23.68,Bình Chánh,Xã Tân Kiên,10.721,106.579,,,
Chung cư Mỹ Đức,58.48,Bình Thạnh,Phường 21,10.798,106.71,,,
Chung cư Mỹ Phước,57.5,Bình Thạnh,Phường 2,10.799,106.699,,,
Chung cư Phan Xích Long,66.87,Phú Nhuận,Phường 7,10.799,106.667,,,
Chung cư Thế Kỷ 21,66.8,Bình Thạnh,Phường 25,10.801,106.72,,,
Chương Dương Home,36.2,Thủ Đức,Phường Trường Thọ,10.837,106.753,,,
Citizen Trung Sơn,41.38,Bình Chánh,Xã Bình Hưng,10.73,106.686,,,
City Garden,141.93,Bình Thạnh,Phường 21,10.73,106.647,,,
Cộng Hòa Garden,37.86,Tân Bình,Phường 12,10.803,106.647,,,
Conic Boulevard,32.06,Bình Chánh,Xã Tân Kiên,10.707,106.598,,,
Conic Đông Nam Á,31.31,Bình Chánh,Xã Phong Phú,10.71,106.637,,,
Conic Garden,40.17,Bình Chánh,Xã Phong Phú,10.717,106.635,,,
Đạt Gia Residence Thủ Đức,34.95,Thủ Đức,Phường Tam Phú,10.859,106.736,,,
Đất Phương Nam,50.74,Bình Thạnh,Phường 12,10.81,106.698,,,
Diamond Alnata,72.06,Tân Phú,Phường Sơn Kỳ,10.803,106.61,,,
Diamond Alnata Plus - Celadon City,78.07,Tân Phú,Phường Sơn Kỳ,10.803,106.611,,,
Diamond Sky,125,Thủ Đức,Phường Hiệp Bình Phước,10.844,106.707,,,
Diyas Sky,20.08,Quận Tân Bình,Phường Tân Bình,10.806,106.636,,,
EhomeS Nam Sài Gòn,34.82,Bình Chánh,Xã Bình Hưng,10.715,106.658,,,
Fiato Uptown,56.2,Thủ Đức,Phường Tam Phú,10.862,106.735,,,
Fresca Riverside,42.23,Thủ Đức,Phường Bình Chiểu,10.862,106.727,,,
Garden Gate,95.95,Phú Nhuận,Phường 9,10.809,106.669,,,
Green Field,58.7,Bình Thạnh,Phường 25,10.809,106.63,,,
Green Town Bình Tân,39.68,Bình Tân,Bình Hưng Hòa,10.805,106.589,,,
Happy City - Khu đô thị Hạnh Phúc,31.1,Bình Chánh,Xã Bình Hưng,10.714,106.646,,,
HQC Plaza,21.82,Bình Chánh,Xã An Phú Tây,10.694,106.604,,,
Hưng Phát Silver Star,46.1,Nhà Bè,Xã Phước Kiển,10.716,106.699,,,
I-Home 1,37.74,Gò Vấp,Phường 14,10.85,10.85,,,
Khang Gia Tân Hương (Lucky Apartment),28.67,Tân Phú,Phường Tân Quý,10.789,106.615,,,
Khu căn hộ Sacomreal-584,39.47,Tân Phú,Bình Hưng Hòa,10.784,106.633,,,
Khu dân cư 6B Intresco,55.83,Bình Chánh,Xã Bình Hưng,10.72,106.683,,,
Khu dân cư Him Lam 6A,54.48,Bình Chánh,Xã Bình Hưng,10.737,106.688,,,
Khu dân cư Sài Gòn Mới,29.57,Nhà Bè,Thị trấn Nhà Bè,10.685,106.742,,,
King Crown Infinity,98.34,Thủ Đức,Phường Bình Thọ,10.85,106.762,,,
La Bonita,58.82,Bình Thạnh,Phường 25,10.85,106.723,,,
La Cosmo Residences,53.18,Tân Bình,Phường 4,10.799,106.654,,,
Lan Phương MHBR Tower,39.58,Thủ Đức,Phường Trường Thọ,10.847,106.752,,,
Lavita Garden,48.2,Thủ Đức,Phường Trường Thọ,10.834,105.542,,,
Lovera Vista,48.92,Bình Chánh,Xã Phong Phú,10.691,106.639,,,
Melody Residences,45.71,Tân Phú ,Tân Sơn Nhì,10.796,106.634,,,
Moonlight Avenue,42.86,Thủ Đức,Phường Trường Thọ,10.838,106.757,,,
Moonlight Boulevard,47.21,Bình Tân,Phường An Lạc A,10.737,106.611,,,
Moonlight Residences,58.68,Thủ Đức,Phường Bình Thọ,10.844,106.759,,,
Newton Residence,82.53,Phú Nhuận,Phường 8,10.798,106.669,,,
Nhà ở xã hội Lê Thành An Lạc,24.18,Bình Chánh,Phường An Lạc,10.718,106.606,,,
Opal Garden,65.9,Thủ Đức,Phường Hiệp Bình Chánh,10.827,106.718,,,
Opal Riverside,54.05,Thủ Đức,Phường Hiệp Bình Chánh,10.824,106.723,,,
Orchard Garden,73.55,Phú Nhuận,Phường 9,10.809,106.669,,,
Orchid Park,38.61,Thủ Đức,Xã Phú Xuân,10.678,106.737,,,
Pearl Plaza,126.45,Bình Thạnh,Phường 25,10.799,106.715,,,
Phú Mỹ Thuận,25.93,Nhà Bè,Xã Phú Xuân,10.678,106.747,,,
Phú Thạnh Apartment,30,Tân Phú,Phú Thạnh,10.78,106.628,,,
Prosper Phố Đông,40.14,Thủ Đức,Phường Tam Bình,10.865,106.737,,,
Richmond City,71.74,Bình Thạnh,Phường 26,10.816,106.701,,,
Sài Gòn Avenue,49.43,Thủ Đức,Phường Tam Bình,10.864,106.731,,,
Sài Gòn Intela,40.78,Bình Chánh,Xã Phong Phú,10.703,106.643,,,
Sài Gòn Mia,71.48,Bình Chánh,Xã Bình Hưng,10.732,106.686,,,
Saigonland Apartment,52.48,Bình Thạnh,Phường 25,10.803,106.711,,,
Saigonres Plaza,49.04,Bình Thạnh,Phường 26,10.816,106.704,,,
Samland Airport,75.47,Gò Vấp,Phường 1,10.818,106.686,,,
Skyway Residence,33.61,Bình Chánh,Xã Phong Phú,10.71,106.639,,,
ST Moritz Phạm Văn Đồng,64.38,Thủ Đức,Phường Hiệp Bình Chánh,10.838,106.732,,,
Stown Thủ Đức,49.1,Thủ Đức,Phường Tam Bình,10.873,106.728,,,
Sunny Plaza,53.86,Gò Vấp,Phường 3,10.815,106.68,,,
Sunview Town,38.12,Thủ Đức,Phường Hiệp Bình Phước,10.838,106.732,,,
Tecco Tower - Chung cư Linh Đông,53.3,Thủ Đức,Phường Linh Đông,10.848,106.744,,,
Tecco Town Bình Tân,29.15,Bình Tân,Phường Tân Tạo A,10.753,106.582,,,
Terra Luxury,52.6,Bình Chánh,Xã Phong Phú,10.753,106.502,,,
The Glen - Celadon City,67.01,Tân Phú,Phường Sơn Kỳ,10.802,106.611,,,
The Harmona,55.74,Tân Bình,Phường 14,10.796,106.639,,,
The Hyco4 Tower,48.46,Bình Thạnh,Phường 26,10.815,106.705,,,
The Landmark 81 - Vinhomes Central Park,224.95,Bình Thạnh,Phường 22,10.795,106.719,,,
The Manor - TP. Hồ Chí Minh,98.91,Bình Thạnh,Phường 22,10.793,106.715,,,
The Morning Star Plaza,53.49,Bình Thạnh,Phường 26,10.814,106.709,,,
The Navita,38.42,Thủ Đức,Phường Tam Bình,10.864,106.731,,,
The Prince Residence,101.69,Phú Nhuận,Phường 12,10.792,106.678,,,
The Splendor,48.66,Gò Vấp,Phường 6,10.85,106.678,,,
The Useful Apartment,38.88,Tân Bình,Phường 9,10.775,106.646,,,
Vinhomes Green Paradise,60,Cần Giờ,Xã Long Hòa,10.754,106.365,,,
Vision Bình Tân,34.21,Bình Tân,Phường Tân Tạo A,10.775,106.563,,,
