TenChungCu,GiaTrenM2,District,Ward,latitude,longitude,Quan_huyen_goc,Phuong_xa,Quan_huyen,dist_hospital_m,dist_mall_m,dist_metro_m,dist_university_m,Dien_tich_km2,SoChungCu,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt,price_segment,dist_hospital_discrete,dist_mall_discrete,dist_metro_discrete,dist_university_discrete,district_discrete
Căn hộ Precia Quận 2,81.62,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Cantavil An Phú - Cantavil Premier,87.01,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Cao ốc An Khang,68.43,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Centana Thủ Thiêm,73.09,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Chung cư An Hòa,70.92,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Chung cư An Thịnh,69.76,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Eaton Park,165.5,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Gần,Gần,Xa,Quận 2
Estella Heights,140.04,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Imperia An Phú,81.65,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Lexington Residence,81.76,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Lumière Midtown,142.87,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Lumiere Riverside,174.91,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Gần,Gần,Xa,Quận 2
Masteri Cosmo Central,128.06,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Masteri Grand View,130.2,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Masteri Park Place,123.59,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Palm Heights,97.23,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
PetroVietnam Landmark,57.83,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
The Estella,109.93,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
The Global City,131.27,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
The Privé,119.09,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
The Sun Avenue,96.13,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
The Vista An Phú,95.28,Quận 2,Phường An Phú,10.795,106.741,Quận 2,An Phú,Thành phố Thủ Đức,459.6347493937227,815.0143561092633,800.8706739409906,1599.5372243495435,10.217398556534652,42,4.110635380190629,2,2,1,0,Cao,Gần,Gần,Gần,Xa,Quận 2
Chung cư Bình Minh,56.89,Quận 2,Phường Bình An,10.792,106.734,Quận 2,Bình An,Thành phố Thủ Đức,846.0471158365605,1018.5292951746653,939.6022959026436,1522.438966858929,1.839601743813484,1,0.5435959187160835,0,0,0,0,Trung bình,Gần,Gần,Gần,Xa,Quận 2
Eco Smart City,287.5,Quận 2,Phường Thủ Thiêm,10.786,106.722,Quận 2,An Khánh,Thành phố Thủ Đức,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,1.7692512969813063,5,2.8260541668280768,0,0,0,0,Rất cao,Xa,Xa,Xa,Xa,Quận 2
Empire City Thủ Thiêm,280.15,Quận 2,Phường Thủ Thiêm,10.786,106.722,Quận 2,An Khánh,Thành phố Thủ Đức,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,1.7692512969813063,5,2.8260541668280768,0,0,0,0,Rất cao,Xa,Xa,Xa,Xa,Quận 2
Sadora Sala,163.45,Quận 2,Phường An Lợi Đông,10.786,106.748,Quận 2,An Phú,Thành phố Thủ Đức,862.8603112063399,1713.4679757325375,1892.2533627968169,2851.0165506933563,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
Sarica Condominium,230.04,Quận 2,Phường An Lợi Đông,10.786,106.748,Quận 2,An Phú,Thành phố Thủ Đức,862.8603112063399,1713.4679757325375,1892.2533627968169,2851.0165506933563,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
Sarimi Sala,195.88,Quận 2,Phường An Lợi Đông,10.786,106.748,Quận 2,An Phú,Thành phố Thủ Đức,862.8603112063399,1713.4679757325375,1892.2533627968169,2851.0165506933563,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
Sarina Condominium,182.31,Quận 2,Phường An Lợi Đông,10.786,106.748,Quận 2,An Phú,Thành phố Thủ Đức,862.8603112063399,1713.4679757325375,1892.2533627968169,2851.0165506933563,10.217398556534652,42,4.110635380190629,2,2,1,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
The Opera Residence,342.71,Quận 2,Phường Thủ Thiêm,10.786,106.722,Quận 2,An Khánh,Thành phố Thủ Đức,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,1.7692512969813063,5,2.8260541668280768,0,0,0,0,Rất cao,Xa,Xa,Xa,Xa,Quận 2
The River Thủ Thiêm,192.0,Quận 2,Phường Thủ Thiêm,10.786,106.722,Quận 2,An Khánh,Thành phố Thủ Đức,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,1.7692512969813063,5,2.8260541668280768,0,0,0,0,Rất cao,Xa,Xa,Xa,Xa,Quận 2
Thu Thiem Zeit River,243.2,Quận 2,Phường Thủ Thiêm,10.786,106.722,Quận 2,An Khánh,Thành phố Thủ Đức,2251.421288203425,1541.7355662691618,2047.401829400067,2354.301017561658,1.7692512969813063,5,2.8260541668280768,0,0,0,0,Rất cao,Xa,Xa,Xa,Xa,Quận 2
Chung cư Bộ Công An,62.02,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Trung bình,Gần,Xa,Xa,Xa,Quận 2
De Capella,90.14,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Cao,Gần,Xa,Xa,Xa,Quận 2
The Crest Residence,329.27,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
The Galleria Residence,274.41,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
The Metropole Thủ Thiêm,426.01,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
The OpusK Residence,346.72,Quận 2,Phường An Khánh,10.783,106.7435,Quận 2,Bình Khánh,Thành phố Thủ Đức,1239.184587292368,2076.253100038546,2120.956547959091,2838.7210033830256,2.01171406989206,6,2.9825312104726365,0,0,0,0,Rất cao,Gần,Xa,Xa,Xa,Quận 2
New City Thủ Thiêm,100.83,Quận 2,Phường Bình Khánh,10.781,106.753,Quận 2,Bình Trưng Tây,Thành phố Thủ Đức,1560.397408818382,1611.6564211185878,2616.7955260062618,3627.664381894662,2.0718534035275633,3,1.447978894111023,1,1,0,0,Cao,Xa,Xa,Xa,Xa,Quận 2
Paris Hoàng Kim,93.57,Quận 2,Phường Bình Khánh,10.781,106.753,Quận 2,Bình Trưng Tây,Thành phố Thủ Đức,1560.397408818382,1611.6564211185878,2616.7955260062618,3627.664381894662,2.0718534035275633,3,1.447978894111023,1,1,0,0,Cao,Xa,Xa,Xa,Xa,Quận 2
Tái định cư Bình Khánh,63.69,Quận 2,Phường Bình Khánh,10.781,106.753,Quận 2,Bình Trưng Tây,Thành phố Thủ Đức,1560.397408818382,1611.6564211185878,2616.7955260062618,3627.664381894662,2.0718534035275633,3,1.447978894111023,1,1,0,0,Trung bình,Xa,Xa,Xa,Xa,Quận 2
Căn hộ Citi Alto,54.12,Quận 2,Phường Cát Lái,10.778,106.77,Quận 2,Cát Lái,Thành phố Thủ Đức,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,6.662225659959667,5,0.7504999462942644,0,0,0,1,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Căn hộ Citi Grand,60.48,Quận 2,Phường Cát Lái,10.778,106.77,Quận 2,Cát Lái,Thành phố Thủ Đức,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,6.662225659959667,5,0.7504999462942644,0,0,0,1,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Căn hộ DEFINE,231.48,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Rất cao,Gần,Gần,Xa,Xa,Quận 2
Citi Esto,48.02,Quận 2,Phường Cát Lái,10.778,106.77,Quận 2,Cát Lái,Thành phố Thủ Đức,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,6.662225659959667,5,0.7504999462942644,0,0,0,1,Thấp,Gần,Gần,Xa,Xa,Quận 2
Citi Home,48.43,Quận 2,Phường Cát Lái,10.778,106.77,Quận 2,Cát Lái,Thành phố Thủ Đức,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,6.662225659959667,5,0.7504999462942644,0,0,0,1,Thấp,Gần,Gần,Xa,Xa,Quận 2
Citi Soho,47.68,Quận 2,Phường Cát Lái,10.778,106.77,Quận 2,Cát Lái,Thành phố Thủ Đức,499.7205850652057,1230.385954688888,3743.8077941476818,3094.623267247556,6.662225659959667,5,0.7504999462942644,0,0,0,1,Thấp,Gần,Gần,Xa,Xa,Quận 2
Feliz En Vista,125.08,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
Khu dân cư Thạnh Mỹ Lợi,40.77,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Thấp,Gần,Gần,Xa,Xa,Quận 2
One Verandah Mapletree,105.54,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
The CBD Premium Home,54.28,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Trung bình,Gần,Gần,Xa,Xa,Quận 2
Thủ Thiêm Dragon,88.12,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
Thủ Thiêm Green House,34.35,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Thấp,Gần,Gần,Xa,Xa,Quận 2
Victoria Village,90.4,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
Vista Verde,93.19,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
Waterina Suites,135.95,Quận 2,Phường Thạnh Mỹ Lợi,10.778,106.761,Quận 2,Thạnh Mỹ Lợi,Thành phố Thủ Đức,946.1540578280299,1252.2999291388915,3366.3692458080072,4071.6620270298595,13.21504781679274,10,0.7567131151271895,0,0,0,0,Cao,Gần,Gần,Xa,Xa,Quận 2
4S Riverside Garden Bình Triệu,54.05,Thủ Đức,Phường Hiệp Bình Chánh,10.822,106.713,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,2775.791971867675,1125.008512148086,3280.7804675788066,897.6601182831923,6.534798496003078,6,0.9181614404284723,0,2,0,1,Trung bình,Xa,Gần,Xa,Gần,Thủ Đức
Cao ốc TDH - Bình Chiểu,37.3,Thủ Đức,Phường Bình Chiểu,10.878,106.719,Thủ Đức,Bình Chiểu,Thành phố Thủ Đức,3244.9762448884494,5546.2155148884285,6734.927363308502,4498.77475063079,5.388463233080228,3,0.556745006921964,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
Chương Dương Home,36.2,Thủ Đức,Phường Trường Thọ,10.837,106.753,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,2553.4616145279865,1948.9539649589692,1284.7756269167728,1378.096258862911,5.089595406923178,6,1.178875631614732,0,0,2,0,Thấp,Xa,Xa,Gần,Gần,Thủ Đức
Đạt Gia Residence Thủ Đức,34.95,Thủ Đức,Phường Tam Phú,10.859,106.736,Thủ Đức,Tam Phú,Thành phố Thủ Đức,1205.3633456768766,3346.5405131358516,4139.910719355615,2117.3209468309633,3.0966875510767027,1,0.3229257015782251,2,0,0,0,Thấp,Gần,Xa,Xa,Xa,Thủ Đức
Diamond Sky,125.0,Thủ Đức,Phường Hiệp Bình Phước,10.844,106.707,Thủ Đức,Hiệp Bình Phước,Thành phố Thủ Đức,4783.651675482783,2406.197763472737,5626.900698608728,1706.5606416650653,7.637190144499191,4,0.5237528363597265,0,0,0,0,Cao,Xa,Xa,Xa,Xa,Thủ Đức
Fiato Uptown,56.2,Thủ Đức,Phường Tam Phú,10.862,106.735,Thủ Đức,Tam Bình,Thành phố Thủ Đức,1186.073262066048,3562.254733310642,4363.255826324039,2251.693807375886,2.172261665652813,5,2.3017484859483486,0,0,0,0,Trung bình,Gần,Xa,Xa,Xa,Thủ Đức
Fresca Riverside,42.23,Thủ Đức,Phường Bình Chiểu,10.862,106.727,Thủ Đức,Tam Bình,Thành phố Thủ Đức,2047.9122585209366,3807.549588411532,5178.315938154403,3119.426011956714,2.172261665652813,5,2.3017484859483486,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
King Crown Infinity,98.34,Thủ Đức,Phường Bình Thọ,10.85,106.762,Thủ Đức,Bình Thọ,Thành phố Thủ Đức,811.6188985050599,347.6652665999667,1127.8471675106248,308.85823703152886,1.230259520553364,3,2.4385098833867316,0,1,1,1,Cao,Gần,Gần,Gần,Gần,Thủ Đức
La Bonita,58.82,Bình Thạnh,Phường 25,10.85,106.723,Thủ Đức,Hiệp Bình Phước,Thành phố Thủ Đức,2937.8289908145885,2442.406738012175,4866.212094598559,2425.0454056333037,7.637190144499191,4,0.5237528363597265,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
Lan Phương MHBR Tower,39.58,Thủ Đức,Phường Trường Thọ,10.847,106.752,Thủ Đức,Linh Đông,Thành phố Thủ Đức,1862.6562757998706,1475.30020782204,2052.0455925475776,994.3991574678233,2.969740707214213,2,0.6734594690847993,0,0,0,0,Thấp,Xa,Gần,Xa,Gần,Thủ Đức
Moonlight Avenue,42.86,Thủ Đức,Phường Trường Thọ,10.838,106.757,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,2229.6192368160914,1588.1734808262918,958.3306631440902,936.8850605850437,5.089595406923178,6,1.178875631614732,0,0,2,0,Thấp,Xa,Xa,Gần,Gần,Thủ Đức
Moonlight Residences,58.68,Thủ Đức,Phường Bình Thọ,10.844,106.759,Thủ Đức,Trường Thọ,Thành phố Thủ Đức,1544.8027618446274,936.58113862219,1364.6528201850751,637.8109844220589,5.089595406923178,6,1.178875631614732,0,0,2,0,Trung bình,Xa,Gần,Gần,Gần,Thủ Đức
Opal Garden,65.9,Thủ Đức,Phường Hiệp Bình Chánh,10.827,106.718,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,2753.726273588037,394.08502058636293,3395.724394562573,577.8298753411415,6.534798496003078,6,0.9181614404284723,0,2,0,1,Trung bình,Xa,Gần,Xa,Gần,Thủ Đức
Opal Riverside,54.05,Thủ Đức,Phường Hiệp Bình Chánh,10.824,106.723,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,2163.251417259018,436.5006669410619,2849.8685564147954,1216.3180263560275,6.534798496003078,6,0.9181614404284723,0,2,0,1,Trung bình,Xa,Gần,Xa,Gần,Thủ Đức
Prosper Phố Đông,40.14,Thủ Đức,Phường Tam Bình,10.865,106.737,Thủ Đức,Tam Bình,Thành phố Thủ Đức,939.3740835896272,3506.452549997856,4311.355449097642,2115.7565124228763,2.172261665652813,5,2.3017484859483486,0,0,0,0,Thấp,Gần,Xa,Xa,Xa,Thủ Đức
Sài Gòn Avenue,49.43,Thủ Đức,Phường Tam Bình,10.864,106.731,Thủ Đức,Tam Bình,Thành phố Thủ Đức,1593.7811821981318,4050.9478258847926,4852.552514011551,2721.443698353845,2.172261665652813,5,2.3017484859483486,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
ST Moritz Phạm Văn Đồng,64.38,Thủ Đức,Phường Hiệp Bình Chánh,10.838,106.732,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,3276.4812877855543,1564.7764360906128,3399.582417496381,2181.001953970437,6.534798496003078,6,0.9181614404284723,0,2,0,1,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
Stown Thủ Đức,49.1,Thủ Đức,Phường Tam Bình,10.873,106.728,Thủ Đức,Bình Chiểu,Thành phố Thủ Đức,2130.819753967824,4803.481701294633,5606.8650769060305,3370.432909832556,5.388463233080228,3,0.556745006921964,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
Sunview Town,38.12,Thủ Đức,Phường Hiệp Bình Phước,10.838,106.732,Thủ Đức,Hiệp Bình Chánh,Thành phố Thủ Đức,3276.4812877855543,1564.7764360906128,3399.582417496381,2181.001953970437,6.534798496003078,6,0.9181614404284723,0,2,0,1,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
Tecco Tower - Chung cư Linh Đông,53.3,Thủ Đức,Phường Linh Đông,10.848,106.744,Thủ Đức,Linh Đông,Thành phố Thủ Đức,1823.131982822682,2324.8049930289676,2759.5751778464014,1706.393623000256,2.969740707214213,2,0.6734594690847993,0,0,0,0,Trung bình,Xa,Xa,Xa,Xa,Thủ Đức
The Navita,38.42,Thủ Đức,Phường Tam Bình,10.864,106.731,Thủ Đức,Tam Bình,Thành phố Thủ Đức,1593.7811821981318,4050.9478258847926,4852.552514011551,2721.443698353845,2.172261665652813,5,2.3017484859483486,0,0,0,0,Thấp,Xa,Xa,Xa,Xa,Thủ Đức
